Polluted element,Type of pollution,Georgia_Reno,Georgia_Washington,Michigan_Boulder City,Michigan_Columbus,Michigan_Flint,Nevada_Albany,Nevada_Detroit,Nevada_Las Vegas,Average
Air,,64.13,-60.72,88.00,-35.10,14.26,-15.47,38.74,-39.01,6.85
,  Chemical,68.88,-59.68,90.11,-31.95,18.36,-11.12,40.35,-84.16,3.85
,  Industrial,63.63,-63.16,90.88,-33.48,11.76,-19.55,37.63,-94.28,-0.82
,  Surface water,73.65,-49.32,92.04,-26.33,23.10,-7.70,44.75,-75.24,9.37
,  Thermal,50.37,-70.72,78.98,-48.66,3.83,-23.50,32.22,97.66,15.02
Soil,,65.16,-57.58,89.72,-31.53,16.86,-13.89,40.35,-36.28,9.10
,  Noise,51.15,-66.87,77.90,-40.51,8.70,-22.19,35.39,98.59,17.77
,  Oxygen-depletion,70.56,-51.00,93.22,-28.15,21.57,-10.51,41.34,-82.79,6.78
,  Thermal,75.14,-48.63,97.00,-25.96,22.93,-5.88,45.89,-72.18,11.04
,  Urban Activities,63.78,-63.82,90.76,-31.50,14.25,-16.96,38.78,-88.73,0.82
Water,,69.07,-56.28,92.51,-30.63,19.32,-12.63,41.30,-83.71,4.87
,  Groundwater,73.84,-51.16,93.94,-30.96,22.83,-9.88,42.48,-78.38,7.84
,  Inferior Irrigation,68.50,-61.82,92.53,-31.69,15.27,-12.90,38.36,-86.33,2.74
,  Light,56.08,-65.09,84.65,-33.15,9.56,-22.98,35.94,-98.08,-4.13
,  Noise,77.85,-47.04,98.92,-26.71,29.61,-4.76,48.43,-72.05,13.03
Average,,66.12,-58.19,90.08,-32.42,16.81,-13.99,40.13,-53.00,6.94
,  ,66.12,-58.19,90.08,-32.42,16.81,-13.99,40.13,-53.00,6.94
