Degree,Gender,Nationality,Year,Language,Value
Degree,Gender,Nationality,Year,Language,Value
PhD,Male,Qatari,2016/2017,Arabic,454.8
PhD,Male,Qatari,2020/2021,Other,231.32
PhD,Male,Qatari,2017/2018,Arabic,361.06
PhD,Male,Qatari,2019/2020,Other,490.61
PhD,Male,Qatari,2021/2022,Arabic,363.04
PhD,Male,Qatari,2016/2017,Arabic,301.42
PhD,Male,Qatari,2020/2021,Other,346.35
PhD,Male,Qatari,2017/2018,Arabic,367.54
PhD,Male,Qatari,2019/2020,Other,240.72
PhD,Male,Qatari,2021/2022,Arabic,144.86
PhD,Male,Qatari,2016/2017,Arabic,273.86
PhD,Male,Qatari,2020/2021,Other,337.19
PhD,Male,Qatari,2017/2018,Arabic,148.36
PhD,Male,Qatari,2019/2020,Other,218.99
PhD,Male,Qatari,2021/2022,Arabic,221.36
