Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Export,2019,Meat,Beef,641.48
Export,2019,Cereals,Lamb,263.65
Export,2019,Dairy,Duck,137.0
Export,2019,Meat,Soybeans,656.55
Export,2019,Cereals,Oats,405.08
Export,2019,Dairy,Seeds,408.41
Export,2019,Meat,Cream,541.1
Export,2019,Cereals,Cheese,37.62
Export,2019,Dairy,Beef,293.94
Export,2016,Meat,Beef,39.73
Export,2016,Cereals,Lamb,685.3
Export,2016,Dairy,Duck,952.5
Export,2016,Meat,Soybeans,445.04
Export,2016,Cereals,Oats,958.09
Export,2016,Dairy,Seeds,583.2
Export,2016,Meat,Cream,968.3
Export,2016,Cereals,Cheese,458.39
Export,2016,Dairy,Beef,331.09
Export,2019,Meat,Beef,844.19
Export,2019,Cereals,Lamb,721.22
Export,2019,Dairy,Duck,980.06
Export,2019,Meat,Soybeans,471.07
Export,2019,Cereals,Oats,602.95
Export,2019,Dairy,Seeds,357.69
Export,2019,Meat,Cream,358.14
Export,2019,Cereals,Cheese,620.45
Export,2019,Dairy,Beef,766.6
