Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Import,2022,Beverage,Tea,416.91
Import,2022,Dairy,Coffee,193.92
Import,2022,Beverage,Juice,773.78
Import,2022,Dairy,Milk,709.81
Import,2022,Beverage,Cream,680.65
Import,2022,Dairy,Yoghurt,201.19
Import,2018,Beverage,Tea,250.48
Import,2018,Dairy,Coffee,588.25
Import,2018,Beverage,Juice,77.13
Import,2018,Dairy,Milk,910.46
Import,2018,Beverage,Cream,396.26
Import,2018,Dairy,Yoghurt,208.68
Import,2022,Beverage,Tea,982.41
Import,2022,Dairy,Coffee,441.72
Import,2022,Beverage,Juice,634.2
Import,2022,Dairy,Milk,892.16
Import,2022,Beverage,Cream,381.44
Import,2022,Dairy,Yoghurt,926.93
