Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Culture,Theatre,Q2,June,4.47
Culture,Theatre,Q1,April,4.43
Culture,Theatre,Q4,May,6.18
Culture,Theatre,Q2,January,6.2
Culture,Theatre,Q1,March,6.3
Culture,Theatre,Q4,December,9.61
Culture,Theatre,Q2,October,10.64
Culture,Theatre,Q1,June,11.14
Culture,Theatre,Q4,April,10.15
Service,Museum,Q2,June,13.49
Service,Museum,Q1,April,14.68
Service,Museum,Q4,May,15.4
Service,Museum,Q2,January,16.02
Service,Museum,Q1,March,17.82
Service,Museum,Q4,December,18.4
Service,Museum,Q2,October,18.74
Service,Museum,Q1,June,20.46
Service,Museum,Q4,April,14.63
Production,Administration,Q2,June,23.97
Production,Administration,Q1,April,24.23
Production,Administration,Q4,May,23.89
Production,Administration,Q2,January,29.34
Production,Administration,Q1,March,0.05
Production,Administration,Q4,December,34.74
Production,Administration,Q2,October,35.16
Production,Administration,Q1,June,35.02
Production,Administration,Q4,April,38.58
Culture,Library,Q2,June,38.31
Culture,Library,Q1,April,41.03
Culture,Library,Q4,May,42.03
Culture,Library,Q2,January,43.99
Culture,Library,Q1,March,44.47
Culture,Library,Q4,December,45.25
Culture,Library,Q2,October,45.61
Culture,Library,Q1,June,48.26
Culture,Library,Q4,April,50.53
Service,Hospital,Q2,June,52.72
Service,Hospital,Q1,April,53.09
Service,Hospital,Q4,May,56.78
Service,Hospital,Q2,January,60.44
Service,Hospital,Q1,March,63.12
Service,Hospital,Q4,December,63.0
Service,Hospital,Q2,October,65.85
Service,Hospital,Q1,June,66.19
Service,Hospital,Q4,April,65.58
Production,Workshop,Q2,June,64.21
Production,Workshop,Q1,April,70.51
Production,Workshop,Q4,May,73.17
Production,Workshop,Q2,January,77.51
Production,Workshop,Q1,March,78.25
Production,Workshop,Q4,December,80.1
Production,Workshop,Q2,October,81.34
Production,Workshop,Q1,June,83.3
Production,Workshop,Q4,April,87.92
Culture,Factory,Q2,June,91.14
Culture,Factory,Q1,April,93.6
Culture,Factory,Q4,May,97.72
Culture,Factory,Q2,January,98.53
Culture,Factory,Q1,March,99.5
Culture,Factory,Q4,December,99.38
Culture,Factory,Q2,October,99.93
Culture,Factory,Q1,June,97.46
Culture,Factory,Q4,April,97.59
