Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2017,Temperature,0-10,2.44
2017,Wind,31-40,2.38
2017,Humidity,11-20,2.12
2017,Temperature,Breeze,4.31
2017,Wind,Storm,2.13
2017,Humidity,Low,10.32
2017,Temperature,High,13.42
2017,Wind,0-10,13.88
2017,Humidity,31-40,15.42
2022,Temperature,0-10,17.12
2022,Wind,31-40,18.6
2022,Humidity,11-20,17.29
2022,Temperature,Breeze,17.01
2022,Wind,Storm,22.21
2022,Humidity,Low,23.73
2022,Temperature,High,25.75
2022,Wind,0-10,26.5
2022,Humidity,31-40,25.64
