Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Culture,Theatre,Q2,May,Maryland,Columbia,0.83
Culture,Theatre,Q1,June,Massachusetts,Boston,1.25
Culture,Theatre,Q2,January,Maryland,Lenox,5.44
Culture,Theatre,Q1,February,Massachusetts,Columbia,9.97
Culture,Theatre,Q2,March,Maryland,Boston,20.99
Culture,Theatre,Q1,May,Massachusetts,Lenox,20.67
Production,Museum,Q2,May,Maryland,Columbia,25.67
Production,Museum,Q1,June,Massachusetts,Boston,26.15
Production,Museum,Q2,January,Maryland,Lenox,27.9
Production,Museum,Q1,February,Massachusetts,Columbia,28.75
Production,Museum,Q2,March,Maryland,Boston,28.49
Production,Museum,Q1,May,Massachusetts,Lenox,27.25
Residential,Factory,Q2,May,Maryland,Columbia,32.73
Residential,Factory,Q1,June,Massachusetts,Boston,37.19
Residential,Factory,Q2,January,Maryland,Lenox,38.22
Residential,Factory,Q1,February,Massachusetts,Columbia,38.32
Residential,Factory,Q2,March,Maryland,Boston,40.25
Residential,Factory,Q1,May,Massachusetts,Lenox,44.88
Culture,Workshop,Q2,May,Maryland,Columbia,47.28
Culture,Workshop,Q1,June,Massachusetts,Boston,53.02
Culture,Workshop,Q2,January,Maryland,Lenox,53.5
Culture,Workshop,Q1,February,Massachusetts,Columbia,55.24
Culture,Workshop,Q2,March,Maryland,Boston,57.86
Culture,Workshop,Q1,May,Massachusetts,Lenox,58.1
Production,Apartment,Q2,May,Maryland,Columbia,57.76
Production,Apartment,Q1,June,Massachusetts,Boston,58.94
Production,Apartment,Q2,January,Maryland,Lenox,62.99
Production,Apartment,Q1,February,Massachusetts,Columbia,69.19
Production,Apartment,Q2,March,Maryland,Boston,72.61
Production,Apartment,Q1,May,Massachusetts,Lenox,79.06
Residential,House,Q2,May,Maryland,Columbia,79.11
Residential,House,Q1,June,Massachusetts,Boston,80.85
Residential,House,Q2,January,Maryland,Lenox,83.95
Residential,House,Q1,February,Massachusetts,Columbia,88.04
Residential,House,Q2,March,Maryland,Boston,91.41
Residential,House,Q1,May,Massachusetts,Lenox,92.5
Culture,Hotel,Q2,May,Maryland,Columbia,91.98
Culture,Hotel,Q1,June,Massachusetts,Boston,95.22
Culture,Hotel,Q2,January,Maryland,Lenox,95.42
Culture,Hotel,Q1,February,Massachusetts,Columbia,95.0
Culture,Hotel,Q2,March,Maryland,Boston,98.45
Culture,Hotel,Q1,May,Massachusetts,Lenox,95.52
