Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2016,Temperature,21-30,0.49
2016,Wind,31-40,0.25
2016,Humidity,Storm,26.09
2016,Temperature,Calm,4.48
2016,Wind,Low,5.63
2016,Humidity,Medium,7.71
2017,Temperature,21-30,8.02
2017,Wind,31-40,10.55
2017,Humidity,Storm,11.23
2017,Temperature,Calm,11.24
2017,Wind,Low,13.79
2017,Humidity,Medium,20.1
2019,Temperature,21-30,21.51
2019,Wind,31-40,21.97
2019,Humidity,Storm,23.96
2019,Temperature,Calm,23.03
2019,Wind,Low,26.81
2019,Humidity,Medium,27.15
