Quarter,Month,Culture_Concert,Culture_Museum,Culture_Workshop,Production_Factory,Production_Theatre
Q1,,1.41,30.85,74.10,56.02,15.90
,  December,11.42,50.49,92.54,64.50,26.06
,  March,1.41,30.85,74.10,56.02,15.90
,  September,5.68,41.26,84.38,64.51,17.72
Q3,,3.98,35.22,80.16,60.19,17.10
,  August,10.71,41.99,88.29,64.63,20.54
,  February,3.98,35.22,80.16,60.19,17.10
,  November,14.51,53.57,95.17,68.52,28.35
Q4,,4.91,41.67,83.31,63.45,16.31
,  January,4.91,41.67,83.31,63.45,18.29
,  March,14.89,55.03,97.05,67.58,29.94
,  October,11.99,45.59,90.86,64.25,16.31
