Characteristic,Intensity,2018_Florida_Albany,2018_Florida_Fort Lauderdale,2018_Georgia_Flint,2018_Michigan_Detroit,2022_Florida_Port Huron,2022_Georgia_Columbus,2022_Michigan_Tampa,2022_Michigan_Washington
Maximum,,18.49,6.51,26.41,27.75,27.40,26.81,18.91,25.87
,  ,18.49,6.51,26.41,27.75,27.40,26.81,18.91,25.87
Humidity,,18.20,5.63,25.84,27.75,27.40,15.14,15.76,25.68
,  11-20,18.20,5.63,25.84,10.08,26.35,15.14,15.76,24.42
,  Low,16.74,0.06,18.73,27.75,25.51,13.24,10.29,25.68
,  Storm,17.55,4.30,21.49,9.28,27.40,14.82,4.35,2.07
Temperature,,18.49,5.87,26.41,12.98,26.57,16.66,18.91,25.38
,  0-10,7.56,5.87,26.41,12.98,26.57,16.66,18.91,25.38
,  Breeze,18.49,5.24,4.17,10.14,24.00,15.56,8.98,23.33
,  Medium,16.04,3.04,21.27,9.74,25.46,14.51,3.79,2.89
Wind,,17.33,6.51,25.70,24.35,25.37,26.81,14.71,25.87
,  21-30,6.05,6.51,25.70,11.46,6.74,26.81,14.71,25.87
,  Calm,17.33,4.39,21.64,24.35,5.42,2.63,14.64,23.95
,  High,16.36,2.09,20.65,8.44,25.37,13.41,4.29,21.04
