Polluted element,Type of pollution,Illinois_Baltimore,Illinois_Columbia,Illinois_Springfield,Maryland_Aberdeen,Maryland_Chicago,Average
Air,,22.43,-22.32,-23.26,44.00,42.17,12.60
,  Inferior Irrigation,-7.60,72.95,-94.82,91.33,44.94,21.36
,  Light,-19.80,-64.83,20.64,88.71,41.58,13.26
,  Thermal,94.69,-75.09,4.40,-48.03,39.99,3.19
Soil,,24.78,-59.49,-15.95,89.30,43.87,16.50
,  Industrial,-18.46,-58.45,28.34,88.41,43.96,16.76
,  Inorganic Fertilizers,-2.75,-51.17,-94.01,93.83,47.66,-1.29
,  Noise,95.54,-68.86,17.82,85.66,39.98,34.03
Average,,23.60,-40.91,-19.61,66.65,43.02,14.55
,  ,23.60,-40.91,-19.61,66.65,43.02,14.55
