Polluted element,Type of pollution,California_Berkeley_2015,California_Lenox_2021,California_San Francisco_2021,Massachusetts_Boston_2017,Massachusetts_Cambridge_2020,Massachusetts_Los-Angeles_2020,Average
Air,Chemical,-45.23,-81.27,-6.09,-65.63,32.04,-31.18,-32.89
,Inorganic Fertilizers,76.05,40.94,-17.17,-72.08,18.26,91.55,22.93
,Light,-47.66,43.98,-10.12,-65.00,24.47,-34.83,-14.86
,Oxygen-depletion,71.61,-93.54,-26.13,-77.81,10.39,87.62,-4.64
Soil,Groundwater,-60.82,-94.06,-28.59,49.78,3.97,-41.55,-28.54
,Industrial,-57.02,39.73,-20.38,-72.59,15.44,89.77,-0.84
,Thermal,84.33,-81.24,-8.97,65.01,-98.01,96.12,9.54
,Urban Activities,76.23,-89.14,-11.10,62.37,22.50,-8.18,8.78
Water,Chemical,66.31,32.97,-28.24,49.22,0.42,-43.65,12.84
,Inferior Irrigation,76.46,-87.20,-13.79,-67.48,18.23,-37.12,-18.48
,Noise,83.35,45.83,-10.62,0.23,26.32,-32.72,18.73
,Surface water,71.74,33.14,-21.92,-72.02,11.20,89.17,18.55
