Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,School,Q3,July,1.87
Service,School,Q2,August,9.27
Service,School,Q3,June,13.47
Service,School,Q2,April,14.4
Production,Library,Q3,July,14.2
Production,Library,Q2,August,19.51
Production,Library,Q3,June,20.87
Production,Library,Q2,April,22.06
Culture,Hospital,Q3,July,25.31
Culture,Hospital,Q2,August,30.3
Culture,Hospital,Q3,June,33.38
Culture,Hospital,Q2,April,33.29
Service,Factory,Q3,July,42.96
Service,Factory,Q2,August,45.34
Service,Factory,Q3,June,47.14
Service,Factory,Q2,April,48.82
Production,Workshop,Q3,July,48.31
Production,Workshop,Q2,August,53.21
Production,Workshop,Q3,June,53.69
Production,Workshop,Q2,April,57.71
Culture,Concert,Q3,July,65.65
Culture,Concert,Q2,August,67.06
Culture,Concert,Q3,June,73.92
Culture,Concert,Q2,April,75.56
Service,Theatre,Q3,July,75.2
Service,Theatre,Q2,August,78.28
Service,Theatre,Q3,June,78.83
Service,Theatre,Q2,April,83.2
Production,Museum,Q3,July,88.17
Production,Museum,Q2,August,97.02
Production,Museum,Q3,June,99.42
Production,Museum,Q2,April,99.83
