Quarter,Month,Culture_Concert,Culture_Factory,Production_Hotel,Production_Theatre,Residential_House,Residential_Workshop,State,City
Minimum,,86.52,37.73,23.80,69.94,1.85,50.61,,
,  ,86.52,37.73,23.80,69.94,1.85,50.61,,
Q1,,88.43,39.13,23.80,73.04,8.22,56.32,,
,  February,94.12,45.83,29.26,81.48,13.61,64.34,California,Cambridge
,  July,97.30,48.09,38.91,86.90,23.51,65.01,Massachusetts,Lenox
,  June,88.43,39.13,23.80,73.04,8.22,56.32,Massachusetts,San Francisco
Q2,,88.58,40.45,23.82,71.56,5.81,52.41,,
,  August,98.12,46.60,37.58,85.28,17.33,66.21,California,Malibu
,  July,88.58,40.45,24.68,71.56,5.81,52.41,California,Cambridge
,  March,92.46,41.95,23.82,79.48,11.94,60.44,Massachusetts,Lenox
Q3,,86.52,37.73,24.87,69.94,1.85,50.61,,
,  April,89.67,42.63,27.79,77.22,8.10,56.61,California,Malibu
,  August,86.52,37.73,24.87,69.94,1.85,50.61,Massachusetts,Lenox
,  January,97.28,46.68,33.86,83.07,14.44,65.18,Massachusetts,San Francisco
