Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2015,Georgia,Columbus,Temperature,0-10,1.83
2015,Georgia,Columbus,Humidity,11-20,2.06
2015,Georgia,Columbus,Temperature,31-40,3.21
2015,Georgia,Columbus,Humidity,Low,4.39
2015,Georgia,Columbus,Temperature,Medium,5.92
2015,Georgia,Columbus,Humidity,0-10,6.99
2019,Florida,Washington,Temperature,0-10,7.54
2019,Florida,Washington,Humidity,11-20,7.5
2019,Florida,Washington,Temperature,31-40,7.29
2019,Florida,Washington,Humidity,Low,7.38
2019,Florida,Washington,Temperature,Medium,9.18
2019,Florida,Washington,Humidity,0-10,12.67
2015,Maryland,Albany,Temperature,0-10,13.83
2015,Maryland,Albany,Humidity,11-20,7.67
2015,Maryland,Albany,Temperature,31-40,15.16
2015,Maryland,Albany,Humidity,Low,16.11
2015,Maryland,Albany,Temperature,Medium,17.15
2015,Maryland,Albany,Humidity,0-10,18.94
2019,Georgia,Tampa,Temperature,0-10,16.14
2019,Georgia,Tampa,Humidity,11-20,16.84
2019,Georgia,Tampa,Temperature,31-40,15.1
2019,Georgia,Tampa,Humidity,Low,22.51
2019,Georgia,Tampa,Temperature,Medium,19.52
2019,Georgia,Tampa,Humidity,0-10,23.5
2015,Florida,Fort Lauderdale,Temperature,0-10,20.16
2015,Florida,Fort Lauderdale,Humidity,11-20,25.62
2015,Florida,Fort Lauderdale,Temperature,31-40,27.77
2015,Florida,Fort Lauderdale,Humidity,Low,21.35
2015,Florida,Fort Lauderdale,Temperature,Medium,27.73
2015,Florida,Fort Lauderdale,Humidity,0-10,21.04
2019,Maryland,Baltimore,Temperature,0-10,25.25
2019,Maryland,Baltimore,Humidity,11-20,26.5
2019,Maryland,Baltimore,Temperature,31-40,12.44
2019,Maryland,Baltimore,Humidity,Low,0.22
2019,Maryland,Baltimore,Temperature,Medium,15.65
2019,Maryland,Baltimore,Humidity,0-10,4.79
2015,Georgia,Columbia,Temperature,0-10,17.04
2015,Georgia,Columbia,Humidity,11-20,17.58
2015,Georgia,Columbia,Temperature,31-40,18.44
2015,Georgia,Columbia,Humidity,Low,18.77
2015,Georgia,Columbia,Temperature,Medium,18.54
2015,Georgia,Columbia,Humidity,0-10,6.05
2019,Florida,Aberdeen,Temperature,0-10,19.07
2019,Florida,Aberdeen,Humidity,11-20,19.01
2019,Florida,Aberdeen,Temperature,31-40,20.36
2019,Florida,Aberdeen,Humidity,Low,1.48
2019,Florida,Aberdeen,Temperature,Medium,22.31
2019,Florida,Aberdeen,Humidity,0-10,22.03
