Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Import,2021,Meat,Camel,737.72
Import,2021,Beverage,Duck,642.34
Import,2021,Meat,Soda,771.77
Import,2021,Beverage,Juice,836.96
Import,2021,Meat,Tea,741.72
Import,2021,Beverage,Camel,386.57
Import,2020,Meat,Camel,135.81
Import,2020,Beverage,Duck,522.89
Import,2020,Meat,Soda,653.13
Import,2020,Beverage,Juice,207.98
Import,2020,Meat,Tea,752.64
Import,2020,Beverage,Camel,431.61
Import,2021,Meat,Camel,210.44
Import,2021,Beverage,Duck,368.92
Import,2021,Meat,Soda,916.12
Import,2021,Beverage,Juice,951.11
Import,2021,Meat,Tea,920.55
Import,2021,Beverage,Camel,317.01
