Polluted element,Type of pollution,Maryland_Aberdeen_2021,Maryland_Detroit_2016,Massachusetts_Baltimore_2016,Massachusetts_Cambridge_2020,Massachusetts_Flint_2015,Michigan_Columbia_2020,Michigan_Lenox_2021
Air,Industrial,-48.70,62.72,-15.95,9.73,93.90,-68.41,37.67
,Inferior Irrigation,-43.47,64.60,-13.96,15.51,-95.30,-64.18,48.53
,Light,-56.33,56.20,-26.74,1.29,75.76,-76.95,31.24
,Noise,-37.55,71.82,-11.41,27.06,-90.92,-58.63,51.60
,Oxygen-depletion,-56.85,59.28,-19.84,7.96,83.70,-71.10,37.72
Soil,Chemical,-50.23,61.21,-18.31,9.55,89.48,-68.32,39.09
,Inorganic Fertilizers,-48.40,63.06,-13.55,12.59,-96.63,-65.39,41.88
,Light,-37.92,58.57,-10.93,24.52,-91.23,-60.33,51.09
,Oxygen-depletion,-32.67,71.71,-1.30,29.93,-88.41,-56.68,52.65
,Thermal,-55.04,58.32,-23.67,6.56,79.92,-74.01,32.55
Water,Noise,-54.53,57.76,-23.76,2.06,77.51,-75.93,31.17
,Solid Waste,-47.95,63.30,-14.20,8.72,97.82,-67.98,41.10
,Surface water,-50.37,57.91,-18.61,8.58,87.21,-71.59,38.99
,Thermal,-34.53,72.08,-6.71,29.72,-89.41,-58.52,53.82
,Urban Activities,-39.34,66.29,-12.98,15.94,-94.24,-62.47,50.20
