Polluted element,Type of pollution,Maryland_Baltimore_2019,Maryland_Columbia_2021,Maryland_Reno_2015,Nevada_Aberdeen_2015,Nevada_Boulder City_2021,Nevada_Las Vegas_2019
Air,Inferior Irrigation,23.59,59.60,89.09,43.10,-8.32,78.85
,Light,20.81,55.70,87.56,42.48,-13.82,75.53
,Surface water,12.16,-77.62,-45.60,-90.81,-17.04,71.83
,Urban Activities,4.05,48.74,-48.26,31.76,95.23,65.56
Soil,Chemical,16.09,52.82,85.95,39.75,-16.50,-56.97
,Groundwater,-50.63,49.18,82.10,-95.06,-29.20,66.41
,Inorganic Fertilizers,2.35,-82.02,78.34,27.77,91.08,-69.87
,Noise,21.84,57.51,-44.78,43.52,-10.56,-52.82
Water,Inferior Irrigation,3.28,47.04,-48.90,30.24,93.27,63.25
,Inorganic Fertilizers,22.80,-70.85,89.14,43.65,-9.57,-51.52
,Oxygen-depletion,10.04,-83.32,-45.09,-91.11,-21.15,68.39
,Thermal,18.35,-74.96,-42.81,37.72,-17.25,-55.04
