Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2020,Humidity,Low,1.01
2020,Temperature,Medium,3.31
2020,Wind,High,4.94
2020,Humidity,11-20,6.16
2020,Temperature,21-30,7.92
2020,Wind,Storm,8.71
2020,Humidity,Calm,9.39
2020,Temperature,Breeze,7.41
2020,Wind,Low,11.03
2019,Humidity,Low,9.03
2019,Temperature,Medium,13.36
2019,Wind,High,14.81
2019,Humidity,11-20,15.41
2019,Temperature,21-30,15.29
2019,Wind,Storm,15.73
2019,Humidity,Calm,18.04
2019,Temperature,Breeze,18.01
2019,Wind,Low,20.07
2022,Humidity,Low,20.32
2022,Temperature,Medium,20.64
2022,Wind,High,22.87
2022,Humidity,11-20,21.27
2022,Temperature,21-30,25.7
2022,Wind,Storm,23.47
2022,Humidity,Calm,13.35
2022,Temperature,Breeze,13.24
2022,Wind,Low,17.01
