Quarter,Month,Culture_Apartment,Culture_Museum,Culture_Theatre,Residential_Concert,Residential_Hotel,Residential_House,Minimum,State,City
Q1,,32.30,92.26,66.79,76.47,46.85,13.93,13.93,,
,  April,42.48,99.98,74.13,89.39,54.05,23.46,23.46,Minnesota,Minneapolis
,  December,32.30,92.26,66.79,76.47,46.85,13.93,13.93,Minnesota,Minneapolis
,  January,37.96,98.81,72.96,83.65,54.17,20.50,20.50,Minnesota,Hastings
Q2,,25.01,92.37,58.72,76.03,43.60,8.98,8.98,,
,  February,39.93,98.07,72.41,85.30,55.54,21.65,21.65,Minnesota,Minneapolis
,  May,25.01,92.88,58.72,76.82,43.60,8.98,8.98,Minnesota,Minneapolis
,  October,33.36,92.37,67.89,76.03,48.99,18.11,18.11,Minnesota,Hastings
Q4,,25.94,92.40,66.03,77.27,42.11,11.26,11.26,,
,  April,25.94,92.40,66.03,77.27,42.11,11.26,11.26,Minnesota,Hastings
,  May,40.28,98.14,74.31,87.29,54.24,19.04,19.04,Minnesota,Hastings
,  November,35.85,97.42,68.51,79.49,48.43,18.98,18.98,Minnesota,Minneapolis
Minimum,,25.01,92.26,58.72,76.03,42.11,8.98,8.98,,
,  ,25.01,92.26,58.72,76.03,42.11,8.98,8.98,,
