Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2021,Wind,Calm,1.29
2021,Temperature,Breeze,5.8
2021,Humidity,Storm,8.97
2021,Wind,31-40,11.92
2021,Temperature,11-20,11.33
2021,Humidity,Low,13.87
2021,Wind,High,11.86
2021,Temperature,Calm,13.31
2021,Humidity,Breeze,16.69
2019,Wind,Calm,16.34
2019,Temperature,Breeze,18.77
2019,Humidity,Storm,18.47
2019,Wind,31-40,19.36
2019,Temperature,11-20,19.55
2019,Humidity,Low,22.17
2019,Wind,High,23.52
2019,Temperature,Calm,25.0
2019,Humidity,Breeze,27.09
