Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,Library,Q1,March,7.47
Service,Library,Q2,February,9.14
Service,Library,Q1,May,13.99
Service,Library,Q2,April,14.37
Culture,School,Q1,March,15.45
Culture,School,Q2,February,17.31
Culture,School,Q1,May,20.82
Culture,School,Q2,April,22.76
Production,Administration,Q1,March,22.4
Production,Administration,Q2,February,27.56
Production,Administration,Q1,May,36.59
Production,Administration,Q2,April,38.41
Service,Museum,Q1,March,42.89
Service,Museum,Q2,February,46.87
Service,Museum,Q1,May,47.93
Service,Museum,Q2,April,46.64
Culture,Concert,Q1,March,47.62
Culture,Concert,Q2,February,46.1
Culture,Concert,Q1,May,51.01
Culture,Concert,Q2,April,66.14
Production,Workshop,Q1,March,66.34
Production,Workshop,Q2,February,70.95
Production,Workshop,Q1,May,74.32
Production,Workshop,Q2,April,75.06
Service,Factory,Q1,March,82.05
Service,Factory,Q2,February,87.97
Service,Factory,Q1,May,91.31
Service,Factory,Q2,April,96.44
