Quarter,Month,Culture_Hospital,Culture_Museum,Service_Administration,Service_Concert,State,City
Q1,,63.57,3.43,79.98,30.94,,
,  April,68.84,15.62,87.98,51.84,Florida,Las Vegas
,  January,63.57,3.43,79.98,30.94,Nevada,Las Vegas
,  July,74.63,18.13,98.51,55.05,Nevada,Las Vegas
Q2,,0.03,5.06,79.92,35.24,,
,  February,0.03,5.06,79.92,35.24,Florida,Fort Lauderdale
,  May,69.59,16.41,93.20,52.43,Nevada,Fort Lauderdale
,  September,75.84,28.16,98.23,56.53,Florida,Fort Lauderdale
Q3,,64.33,11.26,80.56,43.06,,
,  August,76.23,30.89,99.25,55.16,Nevada,Tampa
,  June,72.86,17.71,94.48,53.89,Florida,Tampa
,  March,64.33,11.26,80.56,43.06,Nevada,Tampa
