Polluted element,Type of pollution,Illinois_Champaign_2018,Illinois_Salem_2018,Massachusetts_Cambridge_2015,Massachusetts_Portland_2015,Massachusetts_Springfield_2015,Oregon_Lenox_2022,Oregon_Redmond_2022
Air,,-33.38,64.93,10.62,38.42,-11.80,36.91,-69.53
,  Inferior Irrigation,-48.75,53.60,4.65,87.50,-16.94,22.17,-89.36
,  Inorganic Fertilizers,-38.38,57.48,8.42,97.94,-13.25,34.35,-80.41
,  Surface water,-26.70,70.50,9.54,-0.18,-16.26,45.74,-61.37
,  Thermal,-33.37,63.93,11.67,99.33,-10.85,36.27,-65.01
,  Urban Activities,-19.69,79.12,18.84,-92.48,-1.70,46.00,-51.51
Soil,,-34.96,62.73,9.83,54.38,-14.42,33.40,-58.73
,  Groundwater,-26.29,67.64,12.40,0.36,-13.84,40.44,-62.71
,  Industrial,-25.12,78.88,18.60,-6.29,-13.52,46.34,-60.35
,  Light,-35.85,62.39,10.73,99.91,-11.03,35.73,-67.04
,  Surface water,-49.16,51.48,1.83,85.05,-19.57,21.24,-18.18
,  Urban Activities,-38.37,53.28,5.60,92.86,-14.13,23.23,-85.37
Water,,-38.58,44.97,8.38,30.28,-13.25,33.19,-76.65
,  Groundwater,-50.43,48.38,-0.27,81.53,-18.57,20.42,-91.96
,  Industrial,-49.58,54.64,5.07,88.17,-16.19,23.76,-88.12
,  Inferior Irrigation,-26.87,71.65,15.94,-99.36,-6.31,46.81,-60.05
,  Noise,-27.39,64.50,12.07,-17.20,-12.79,39.73,-64.75
,  Solid Waste,-38.64,-14.31,9.10,98.27,-12.38,35.24,-78.39
Average,,-35.64,57.54,9.61,41.03,-13.16,34.50,-68.31
,  ,-35.64,57.54,9.61,41.03,-13.16,34.50,-68.31
