Polluted element,Type of pollution,Florida_Columbus,Florida_Fort Lauderdale,Georgia_Aberdeen,Georgia_Washington,Maryland_Albany,Maryland_Baltimore,Maryland_Tampa,Average
Air,,72.84,-40.28,37.44,-64.55,-33.47,13.65,-18.39,-4.68
,  Chemical,76.12,-33.70,41.44,-56.88,-89.74,18.94,-14.18,-8.29
,  Industrial,58.13,-50.11,23.58,-74.91,94.56,4.23,-26.78,4.10
,  Inferior Irrigation,86.35,-29.38,57.72,-53.38,-80.95,22.59,-8.78,-0.83
,  Thermal,73.59,-39.54,35.86,-67.40,-91.07,14.99,-18.73,-13.19
,  Urban Activities,70.02,-48.67,28.59,-70.20,-0.13,7.51,-23.46,-5.19
Soil,,71.39,-41.67,33.92,-67.01,-15.13,11.79,-20.12,-3.83
,  Groundwater,71.48,-37.00,40.26,-60.55,-89.32,16.60,-14.58,-10.44
,  Industrial,84.82,-30.99,49.76,-55.70,-85.92,20.27,-11.98,-4.25
,  Inorganic Fertilizers,58.85,-51.57,24.75,-75.83,93.26,1.53,-28.24,3.25
,  Light,72.09,-40.86,31.40,-70.07,-92.43,12.77,-21.23,-15.48
,  Solid Waste,69.69,-47.91,23.41,-72.92,98.78,7.79,-24.56,7.75
Water,,74.87,-31.66,40.21,-63.97,-51.11,15.55,-18.22,-4.91
,  Inferior Irrigation,63.08,-48.54,26.89,-73.62,97.57,6.35,-28.39,6.19
,  Inorganic Fertilizers,77.39,-32.02,48.04,-55.59,-88.60,19.81,-12.18,-6.16
,  Noise,70.36,-48.83,30.08,-70.41,-97.91,12.70,-28.80,-18.97
,  Solid Waste,88.97,-28.94,58.99,-54.07,-76.27,23.93,-3.73,1.27
,  Surface water,74.55,0.02,37.03,-66.16,-90.36,14.96,-18.02,-6.85
Average,,73.03,-37.87,37.19,-65.18,-33.24,13.66,-18.91,-4.47
,  ,73.03,-37.87,37.19,-65.18,-33.24,13.66,-18.91,-4.47
