Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Service,Administration,Q2,April,Florida,Fort Lauderdale,2.55
Service,Administration,Q4,May,California,Tampa,4.88
Service,Administration,Q3,December,Florida,Malibu,10.29
Service,Administration,Q2,November,California,Fort Lauderdale,11.56
Service,Administration,Q4,September,Florida,Tampa,15.9
Service,Administration,Q3,August,California,Malibu,19.42
Service,Administration,Q2,July,Florida,Fort Lauderdale,19.49
Service,Administration,Q4,April,California,Tampa,19.26
Service,Administration,Q3,May,Florida,Malibu,23.09
Residential,Library,Q2,April,Florida,Fort Lauderdale,24.0
Residential,Library,Q4,May,California,Tampa,23.65
Residential,Library,Q3,December,Florida,Malibu,24.45
Residential,Library,Q2,November,California,Fort Lauderdale,29.12
Residential,Library,Q4,September,Florida,Tampa,30.54
Residential,Library,Q3,August,California,Malibu,31.7
Residential,Library,Q2,July,Florida,Fort Lauderdale,33.04
Residential,Library,Q4,April,California,Tampa,34.59
Residential,Library,Q3,May,Florida,Malibu,37.55
Service,Hotel,Q2,April,Florida,Fort Lauderdale,38.99
Service,Hotel,Q4,May,California,Tampa,41.14
Service,Hotel,Q3,December,Florida,Malibu,44.28
Service,Hotel,Q2,November,California,Fort Lauderdale,45.83
Service,Hotel,Q4,September,Florida,Tampa,45.17
Service,Hotel,Q3,August,California,Malibu,45.86
Service,Hotel,Q2,July,Florida,Fort Lauderdale,50.32
Service,Hotel,Q4,April,California,Tampa,52.01
Service,Hotel,Q3,May,Florida,Malibu,57.03
Residential,House,Q2,April,Florida,Fort Lauderdale,62.8
Residential,House,Q4,May,California,Tampa,64.38
Residential,House,Q3,December,Florida,Malibu,68.56
Residential,House,Q2,November,California,Fort Lauderdale,71.18
Residential,House,Q4,September,Florida,Tampa,75.68
Residential,House,Q3,August,California,Malibu,76.47
Residential,House,Q2,July,Florida,Fort Lauderdale,81.74
Residential,House,Q4,April,California,Tampa,84.05
Residential,House,Q3,May,Florida,Malibu,84.83
Service,Apartment,Q2,April,Florida,Fort Lauderdale,84.28
Service,Apartment,Q4,May,California,Tampa,90.71
Service,Apartment,Q3,December,Florida,Malibu,92.33
Service,Apartment,Q2,November,California,Fort Lauderdale,93.19
Service,Apartment,Q4,September,Florida,Tampa,93.45
Service,Apartment,Q3,August,California,Malibu,94.37
Service,Apartment,Q2,July,Florida,Fort Lauderdale,96.44
Service,Apartment,Q4,April,California,Tampa,92.87
Service,Apartment,Q3,May,Florida,Malibu,94.98
