Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,School,Q3,July,32.99
Service,School,Q2,September,2.88
Service,School,Q3,June,2.11
Service,School,Q2,May,77.32
Residential,Administration,Q3,July,45.41
Residential,Administration,Q2,September,15.21
Residential,Administration,Q3,June,16.61
Residential,Administration,Q2,May,13.58
Service,Hotel,Q3,July,14.78
Service,Hotel,Q2,September,51.3
Service,Hotel,Q3,June,19.06
Service,Hotel,Q2,May,18.63
Residential,House,Q3,July,87.39
Residential,House,Q2,September,27.14
Residential,House,Q3,June,29.39
Residential,House,Q2,May,30.58
