Polluted element,Type of pollution,Florida_Chicago_2015,Florida_Tampa_2015,Illinois_Champaign_2017,Illinois_Fort Lauderdale_2017
Average,,-3.33,-30.80,7.82,-19.42
,  ,-3.33,-30.80,7.82,-19.42
Soil,,-37.29,-33.78,19.31,-20.46
,  Chemical,67.84,-33.99,28.12,76.40
,  Oxygen-depletion,-57.45,-26.99,43.00,-49.40
,  Solid Waste,-78.36,-35.11,5.83,-53.16
,  Urban Activities,-81.19,-39.04,0.29,-55.68
Water,,30.63,-27.82,-3.66,-18.39
,  Groundwater,-58.55,-31.70,-88.05,-50.31
,  Inferior Irrigation,47.14,-38.73,2.20,-57.69
,  Inorganic Fertilizers,61.51,-35.30,24.45,76.20
,  Surface water,72.43,-5.56,46.75,-41.75
