Polluted element,Type of pollution,Michigan_Flint,Michigan_Port Huron,Michigan_Rochester,Minnesota_Detroit,Minnesota_Hastings
Average,,-4.33,8.41,8.77,-23.04,0.42
,  ,-4.33,8.41,8.77,-23.04,0.42
Air,,-28.82,19.54,27.46,-18.53,4.39
,  Groundwater,-97.65,71.29,-12.11,50.88,-41.78
,  Industrial,21.79,-61.37,-15.94,44.75,86.42
,  Light,-48.00,3.68,41.72,-81.42,20.17
,  Urban Activities,8.57,64.54,96.19,-88.31,-47.26
Soil,,21.37,-13.02,-2.74,-49.37,5.16
,  Inferior Irrigation,24.61,-59.47,-14.05,-81.99,-41.80
,  Noise,18.29,2.50,40.75,49.12,20.20
,  Oxygen-depletion,32.41,-57.32,-12.07,-76.96,-42.01
,  Solid Waste,10.17,62.21,-25.58,-87.66,84.23
Water,,-5.53,18.72,1.57,-1.22,-8.29
,  Chemical,-95.06,73.67,-10.32,56.64,-38.41
,  Inorganic Fertilizers,20.70,67.72,-17.85,34.52,-43.00
,  Surface water,29.90,-66.41,-13.39,-80.98,-40.49
,  Thermal,22.33,-0.10,47.83,-15.07,88.75
