State,City,Year,Polluted element,Type of pollution,Value
State,City,Year,Polluted_element,Type_of_pollution,Value
Florida,Fort Lauderdale,2015,Water,Groundwater,1.46
Florida,Fort Lauderdale,2015,Soil,Oxygen-depletion,2.51
Florida,Fort Lauderdale,2015,Air,Surface water,3.02
Florida,Fort Lauderdale,2015,Water,Chemical,4.53
Florida,Fort Lauderdale,2015,Soil,Inorganic Fertilizers,6.12
Florida,Fort Lauderdale,2015,Air,Solid Waste,7.35
Florida,Fort Lauderdale,2015,Water,Industrial,8.61
Florida,Fort Lauderdale,2015,Soil,Urban Activities,7.91
Florida,Fort Lauderdale,2015,Air,Inferior Irrigation,10.01
Florida,Fort Lauderdale,2015,Water,Noise,11.67
Florida,Fort Lauderdale,2015,Soil,Light,11.48
Florida,Fort Lauderdale,2015,Air,Thermal,11.8
Florida,Fort Lauderdale,2015,Water,Groundwater,14.47
Florida,Fort Lauderdale,2015,Soil,Oxygen-depletion,15.52
Florida,Fort Lauderdale,2015,Air,Surface water,18.09
Georgia,Tampa,2020,Water,Groundwater,19.64
Georgia,Tampa,2020,Soil,Oxygen-depletion,20.09
Georgia,Tampa,2020,Air,Surface water,19.82
Georgia,Tampa,2020,Water,Chemical,21.37
Georgia,Tampa,2020,Soil,Inorganic Fertilizers,23.2
Georgia,Tampa,2020,Air,Solid Waste,25.4
Georgia,Tampa,2020,Water,Industrial,28.43
Georgia,Tampa,2020,Soil,Urban Activities,29.65
Georgia,Tampa,2020,Air,Inferior Irrigation,30.54
Georgia,Tampa,2020,Water,Noise,33.88
Georgia,Tampa,2020,Soil,Light,34.75
Georgia,Tampa,2020,Air,Thermal,34.18
Georgia,Tampa,2020,Water,Groundwater,36.47
Georgia,Tampa,2020,Soil,Oxygen-depletion,37.43
Georgia,Tampa,2020,Air,Surface water,40.54
Massachusetts,Columbus,2022,Water,Groundwater,41.96
Massachusetts,Columbus,2022,Soil,Oxygen-depletion,41.86
Massachusetts,Columbus,2022,Air,Surface water,40.53
Massachusetts,Columbus,2022,Water,Chemical,49.98
Massachusetts,Columbus,2022,Soil,Inorganic Fertilizers,51.6
