Polluted element,Type of pollution,California_Columbia,California_Los-Angeles,Maryland_Aberdeen,Maryland_Baltimore,Maryland_Berkeley
Air,,49.26,25.41,38.19,16.68,-16.12
,  Chemical,46.91,87.16,67.14,11.94,-17.28
,  Industrial,36.56,-49.77,-64.71,3.00,-29.76
,  Light,55.02,-33.42,71.73,20.78,-12.29
,  Solid Waste,58.56,97.69,78.60,31.01,-5.15
Soil,,44.53,55.39,3.28,10.36,11.42
,  Solid Waste,31.38,79.81,-67.80,0.62,99.28
,  Surface water,49.77,89.98,70.45,13.26,-18.04
,  Thermal,56.07,-32.62,-55.13,21.06,-11.99
,  Urban Activities,40.92,84.37,65.59,6.49,-23.57
Water,,-17.17,88.82,36.76,-18.05,13.35
,  Groundwater,-87.55,87.09,65.18,8.20,-18.25
,  Inorganic Fertilizers,36.46,80.65,63.53,3.38,97.20
,  Noise,56.57,97.29,77.30,-97.93,-10.41
,  Oxygen-depletion,-74.17,90.25,-58.98,14.16,-15.16
Average,,25.54,56.54,26.08,3.00,2.88
,  ,25.54,56.54,26.08,3.00,2.88
