Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2021,Georgia,Columbus,Humidity,Low,7.93
2021,Georgia,Columbus,Temperature,Medium,11.28
2021,Georgia,Columbus,Humidity,0-10,12.6
2021,Georgia,Columbus,Temperature,11-20,13.24
2015,Florida,Washington,Humidity,Low,12.04
2015,Florida,Washington,Temperature,Medium,15.13
2015,Florida,Washington,Humidity,0-10,16.15
2015,Florida,Washington,Temperature,11-20,11.33
2021,Georgia,Fort Lauderdale,Humidity,Low,18.41
2021,Georgia,Fort Lauderdale,Temperature,Medium,19.76
2021,Georgia,Fort Lauderdale,Humidity,0-10,19.27
2021,Georgia,Fort Lauderdale,Temperature,11-20,21.25
2015,Florida,Tampa,Humidity,Low,22.33
2015,Florida,Tampa,Temperature,Medium,21.95
2015,Florida,Tampa,Humidity,0-10,18.35
2015,Florida,Tampa,Temperature,11-20,26.38
