Characteristic,Intensity,2016_Georgia_Aberdeen,2016_Georgia_Boulder City,2017_Maryland_Baltimore,2017_Maryland_Columbus,2018_Nevada_Reno,2018_Nevada_Washington
Maximum,,27.26,10.86,24.99,17.87,4.99,22.34
,  ,27.26,10.86,24.99,17.87,4.99,22.34
Humidity,,27.26,9.21,19.41,17.87,4.46,21.31
,  Calm,25.91,7.52,8.14,13.76,1.68,19.55
,  Medium,27.26,9.21,18.87,14.00,0.50,21.31
,  Storm,20.12,9.17,19.41,17.87,4.46,17.22
Wind,,26.88,10.86,24.99,14.45,4.99,22.34
,  Breeze,25.77,8.18,9.75,14.45,2.72,20.28
,  High,26.88,10.86,19.93,10.78,4.99,22.34
,  Storm,24.76,6.23,24.99,12.53,0.00,17.13
