Polluted element,Type of pollution,California_Columbia_2016,California_Los-Angeles_2016,California_Redmond_2016,Maryland_Baltimore_2020,Maryland_Malibu_2020,Maryland_Portland_2020,Oregon_Aberdeen_2019,Oregon_Berkeley_2019,Oregon_Salem_2019,Average
Air,,81.22,17.78,-53.38,2.80,38.49,-32.70,-78.72,57.00,-12.35,2.24
,  Chemical,77.06,11.57,-57.77,98.16,36.49,-38.80,-79.94,52.11,-17.32,9.06
,  Inferior Irrigation,88.90,25.58,-45.29,-87.32,45.53,-20.20,-73.23,65.37,-1.58,-0.25
,  Inorganic Fertilizers,88.98,26.83,-48.74,-91.40,37.25,-29.15,-76.44,61.18,-8.92,-4.49
,  Thermal,79.16,17.68,-53.69,-1.12,39.58,-35.39,-76.34,56.48,-16.90,1.05
,  Urban Activities,72.00,7.22,-61.43,95.66,33.60,-39.97,-87.67,49.87,-17.01,5.81
Soil,,77.80,15.46,-57.09,20.61,35.41,-35.76,-79.91,53.97,-13.09,1.94
,  Industrial,66.15,2.40,-67.72,92.66,31.05,-44.10,-87.98,46.64,-19.57,2.17
,  Noise,81.77,21.45,-52.73,-94.78,38.60,-32.21,-75.98,57.33,-10.69,-7.47
,  Solid Waste,73.98,9.64,-59.50,97.01,34.18,-39.56,-82.30,50.06,-16.67,7.43
,  Surface water,78.45,17.78,-57.22,97.33,37.90,-35.56,-79.87,51.94,-13.70,10.78
,  Urban Activities,88.65,26.05,-48.30,-89.15,35.34,-27.36,-73.40,63.87,-4.80,-3.23
Water,,80.20,17.07,-55.29,22.32,38.40,-34.69,-80.73,54.55,-12.70,3.24
,  Industrial,87.46,25.31,-49.97,-92.36,40.74,-30.68,-76.23,56.14,-10.71,-5.59
,  Inferior Irrigation,73.24,9.09,-58.33,98.52,35.74,-37.75,-87.35,49.36,-17.06,7.27
,  Inorganic Fertilizers,70.27,3.79,-65.42,94.66,32.87,-46.51,-84.91,47.79,-20.90,3.52
,  Light,79.63,18.55,-54.99,98.51,38.04,-34.71,-78.90,55.78,-12.56,12.15
,  Solid Waste,90.40,28.60,-47.72,-87.71,44.63,-23.82,-76.27,63.70,-2.26,-1.16
Average,,79.74,16.77,-55.25,15.24,37.44,-34.38,-79.79,55.17,-12.71,2.47
,  ,79.74,16.77,-55.25,15.24,37.44,-34.38,-79.79,55.17,-12.71,2.47
