Quarter,Month,Production_Apartment,Production_Factory,Residential_Hotel,Residential_House,Residential_Workshop,Minimum
Q1,,11.41,66.66,39.76,0.30,82.80,0.30
,  March,11.41,66.66,39.76,0.30,82.80,0.30
,  May,17.34,71.78,47.72,4.00,87.80,4.00
,  September,31.65,75.34,53.12,7.29,90.94,7.29
Q2,,15.75,69.94,40.44,2.88,84.58,2.88
,  August,36.41,77.56,58.45,7.92,94.75,7.92
,  February,15.75,69.94,40.44,2.88,84.58,2.88
,  June,24.67,72.62,47.49,3.44,89.45,3.44
Q3,,15.68,70.54,38.86,3.36,87.95,3.36
,  April,25.37,75.01,50.74,4.64,90.20,4.64
,  January,15.68,70.54,38.86,3.36,87.95,3.36
,  July,38.28,78.49,62.72,11.30,97.50,11.30
Minimum,,11.41,66.66,38.86,0.30,82.80,0.30
,  ,11.41,66.66,38.86,0.30,82.80,0.30
