Polluted element,Type of pollution,Michigan_Flint,Michigan_Las Vegas,Michigan_Minneapolis,Minnesota_Reno,Minnesota_Rochester,Nevada_Boulder City,Nevada_Hastings,Nevada_Port Huron
Air,,24.46,-2.40,-30.12,70.37,-60.20,-81.86,-13.91,48.79
,  Chemical,10.75,88.16,-42.23,61.39,-67.32,-87.69,-24.14,43.38
,  Groundwater,38.06,-90.34,-31.51,79.37,-50.95,-74.39,-4.36,55.24
,  Light,18.91,90.59,-38.79,67.68,-64.70,-83.14,-15.36,43.84
,  Solid Waste,30.14,-98.02,-7.93,73.03,-57.85,-82.22,-11.80,52.70
Soil,,27.40,-1.20,-35.16,72.05,-57.21,-80.31,-11.78,50.42
,  Groundwater,12.52,88.68,-40.29,63.89,-67.96,-86.97,-23.51,43.13
,  Oxygen-depletion,39.09,-90.12,-30.02,81.86,-49.05,-72.71,-2.00,57.91
,  Surface water,34.59,-98.36,-33.68,73.89,-52.69,-79.40,-7.31,53.08
,  Thermal,23.41,94.99,-36.63,68.56,-59.14,-82.17,-14.30,47.55
Water,,19.97,-5.44,-40.75,68.00,-61.96,-84.72,-16.84,46.55
,  Chemical,37.15,-91.86,-33.04,74.40,-51.13,-83.56,-6.07,52.48
,  Industrial,28.30,-99.49,-38.57,72.20,-59.97,-81.88,-12.12,49.31
,  Oxygen-depletion,13.65,88.41,-38.38,64.94,-67.63,-85.25,-19.19,43.16
,  Surface water,0.76,81.18,-52.99,60.47,-69.11,-88.21,-29.96,41.24
Average,,23.94,-3.01,-35.34,70.14,-59.79,-82.30,-14.18,48.59
,  ,23.94,-3.01,-35.34,70.14,-59.79,-82.30,-14.18,48.59
