Polluted element,Type of pollution,Florida_Reno_2020,Florida_Tampa_2020,Nevada_Fort Lauderdale_2019,Nevada_Las Vegas_2019
Air,Chemical,61.45,-0.43,-94.71,94.01
,Inorganic Fertilizers,-55.19,9.23,47.20,-23.37
,Solid Waste,-48.00,15.84,-77.29,-14.82
,Surface water,85.49,22.22,57.55,-3.20
,Thermal,-64.21,7.59,38.53,-34.83
Soil,Groundwater,89.22,22.55,-1.46,-1.61
,Industrial,73.38,9.52,49.03,-22.41
,Noise,-63.55,8.16,39.81,98.09
,Oxygen-depletion,-47.47,17.79,-79.67,-7.91
,Surface water,-66.55,2.26,36.24,94.92
Water,Chemical,-46.28,19.03,-77.02,-4.61
,Groundwater,59.12,3.74,37.67,-35.77
,Inferior Irrigation,-50.03,12.06,49.10,-17.00
,Oxygen-depletion,60.55,0.63,33.25,93.72
,Urban Activities,65.02,9.02,44.22,-25.79
