Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2015,Temperature,21-30,0.51
2015,Humidity,0-10,5.86
2015,Wind,31-40,6.22
2015,Temperature,High,6.14
2015,Humidity,Medium,9.54
2015,Wind,Low,10.88
2015,Temperature,Calm,12.02
2015,Humidity,Storm,13.19
2015,Wind,21-30,14.8
2017,Temperature,21-30,15.48
2017,Humidity,0-10,13.43
2017,Wind,31-40,17.18
2017,Temperature,High,18.45
2017,Humidity,Medium,19.32
2017,Wind,Low,20.67
2017,Temperature,Calm,19.46
2017,Humidity,Storm,22.83
2017,Wind,21-30,23.16
2022,Temperature,21-30,24.33
2022,Humidity,0-10,24.25
2022,Wind,31-40,26.26
2022,Temperature,High,26.42
2022,Humidity,Medium,27.57
2022,Wind,Low,25.21
2022,Temperature,Calm,22.7
2022,Humidity,Storm,19.97
2022,Wind,21-30,20.64
