Polluted element,Type of pollution,Florida_Detroit_2017,Florida_Fort Lauderdale_2015,Florida_Port Huron_2022,Michigan_Flint_2015,Michigan_Tampa_2017
Air,,-12.15,-16.21,-59.49,49.51,5.24
,  Groundwater,-23.15,12.17,-66.61,88.03,42.39
,  Noise,-10.75,29.81,-58.46,91.61,-81.47
,  Surface water,-2.56,-90.62,-53.40,-31.11,54.81
Soil,,-16.01,24.17,-62.71,47.08,-39.61
,  Chemical,-25.46,8.34,-69.93,83.55,-88.98
,  Industrial,-16.33,27.00,-62.44,89.69,46.76
,  Thermal,-6.23,37.17,-55.76,-31.99,-76.62
Water,,22.14,-24.59,-19.98,10.23,44.43
,  Inorganic Fertilizers,-22.86,16.15,-64.56,-8.34,45.53
,  Light,-8.06,-93.06,-55.05,93.27,49.24
,  Surface water,97.35,3.14,59.66,-54.25,38.51
Average,,-2.01,-5.54,-47.39,35.61,3.35
,  ,-2.01,-5.54,-47.39,35.61,3.35
