Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Production,Factory,Q4,November,1.7
Production,Factory,Q3,October,6.48
Production,Factory,Q1,August,9.72
Production,Factory,Q4,July,15.7
Production,Factory,Q3,September,21.47
Production,Factory,Q1,January,25.35
Production,Factory,Q4,March,26.09
Production,Factory,Q3,November,25.26
Production,Factory,Q1,October,28.5
Culture,Workshop,Q4,November,29.57
Culture,Workshop,Q3,October,28.11
Culture,Workshop,Q1,August,31.59
Culture,Workshop,Q4,July,34.73
Culture,Workshop,Q3,September,38.31
Culture,Workshop,Q1,January,39.31
Culture,Workshop,Q4,March,39.12
Culture,Workshop,Q3,November,40.39
Culture,Workshop,Q1,October,42.2
Production,Theatre,Q4,November,42.85
Production,Theatre,Q3,October,46.98
Production,Theatre,Q1,August,47.27
Production,Theatre,Q4,July,51.27
Production,Theatre,Q3,September,51.34
Production,Theatre,Q1,January,60.53
Production,Theatre,Q4,March,67.24
Production,Theatre,Q3,November,67.54
Production,Theatre,Q1,October,74.61
Culture,Concert,Q4,November,75.46
Culture,Concert,Q3,October,77.69
Culture,Concert,Q1,August,78.89
Culture,Concert,Q4,July,86.81
Culture,Concert,Q3,September,86.84
Culture,Concert,Q1,January,92.98
Culture,Concert,Q4,March,92.0
Culture,Concert,Q3,November,93.86
Culture,Concert,Q1,October,93.79
