Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2017,Temperature,31-40,0.61
2017,Humidity,21-30,2.29
2017,Wind,0-10,3.03
2017,Temperature,High,4.94
2017,Humidity,Low,6.42
2017,Wind,Breeze,7.65
2017,Temperature,Storm,8.79
2017,Humidity,Calm,9.79
2017,Wind,31-40,10.37
2021,Temperature,31-40,11.79
2021,Humidity,21-30,12.93
2021,Wind,0-10,13.53
2021,Temperature,High,14.28
2021,Humidity,Low,10.03
2021,Wind,Breeze,11.47
2021,Temperature,Storm,17.29
2021,Humidity,Calm,17.71
2021,Wind,31-40,19.49
2019,Temperature,31-40,20.84
2019,Humidity,21-30,18.29
2019,Wind,0-10,22.14
2019,Temperature,High,23.15
2019,Humidity,Low,24.18
2019,Wind,Breeze,26.33
2019,Temperature,Storm,26.56
2019,Humidity,Calm,10.71
2019,Wind,31-40,11.62
