Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2015,Temperature,31-40,2.79
2015,Humidity,11-20,3.67
2015,Temperature,Low,4.35
2015,Humidity,Medium,5.07
2015,Temperature,High,4.38
2015,Humidity,31-40,7.24
2022,Temperature,31-40,8.54
2022,Humidity,11-20,9.42
2022,Temperature,Low,12.32
2022,Humidity,Medium,13.15
2022,Temperature,High,14.4
2022,Humidity,31-40,13.48
2017,Temperature,31-40,20.57
2017,Humidity,11-20,21.64
2017,Temperature,Low,23.91
2017,Humidity,Medium,23.2
2017,Temperature,High,24.28
2017,Humidity,31-40,24.78
