Polluted element,Type of pollution,Massachusetts_Cambridge_2017,Massachusetts_Lenox_2015,Massachusetts_Rochester_2022,Minnesota_Boston_2022,Minnesota_Hastings_2015
Average,,-12.09,7.78,-13.66,14.62,-33.37
,  ,-12.09,7.78,-13.66,14.62,-33.37
Air,,18.88,7.26,1.10,-1.99,-49.36
,  Chemical,55.10,10.22,-28.67,33.54,-51.82
,  Groundwater,64.92,17.39,-14.65,-93.18,-45.24
,  Light,38.59,-0.60,85.66,24.34,-51.28
,  Noise,-83.09,2.02,-37.94,27.34,-49.10
Water,,-43.06,8.30,-28.43,31.23,-17.38
,  Light,-61.95,21.44,-7.02,36.52,-50.89
,  Oxygen-depletion,59.47,10.92,-26.29,34.24,-47.34
,  Surface water,-80.73,0.49,-28.88,27.41,79.46
,  Thermal,-89.01,0.35,-51.53,26.75,-50.75
