Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Import,2020,Meat,Chicken,524.33
Import,2020,Dairy,Pork,12.75
Import,2020,Cereals,Butter,660.06
Import,2020,Meat,Cheese,924.57
Import,2020,Dairy,Rice,412.13
Import,2020,Cereals,Corn,417.86
Import,2020,Meat,Wheat,421.48
Import,2020,Dairy,Chicken,808.65
Import,2020,Cereals,Pork,41.01
Import,2016,Meat,Chicken,562.86
Import,2016,Dairy,Pork,563.63
Import,2016,Cereals,Butter,562.82
Import,2016,Meat,Cheese,951.31
Import,2016,Dairy,Rice,954.42
Import,2016,Cereals,Corn,443.38
Import,2016,Meat,Wheat,829.27
Import,2016,Dairy,Chicken,323.17
Import,2016,Cereals,Pork,198.78
Import,2021,Meat,Chicken,839.44
Import,2021,Dairy,Pork,204.94
Import,2021,Cereals,Butter,720.02
Import,2021,Meat,Cheese,466.65
Import,2021,Dairy,Rice,341.51
Import,2021,Cereals,Corn,214.87
Import,2021,Meat,Wheat,729.08
Import,2021,Dairy,Chicken,986.58
Import,2021,Cereals,Pork,375.92
Import,2020,Meat,Chicken,991.29
Import,2020,Dairy,Pork,355.3
Import,2020,Cereals,Butter,484.42
Import,2020,Meat,Cheese,997.24
Import,2020,Dairy,Rice,108.51
Import,2020,Cereals,Corn,110.85
Import,2020,Meat,Wheat,751.46
Import,2020,Dairy,Chicken,887.11
Import,2020,Cereals,Pork,124.77
