Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Male,2018,Q2,Traffic,Fatal,32.09
Male,2018,Q2,Fire,Fatal,90.53
Male,2018,Q2,Drowning,Fatal,70.95
Male,2022,Q3,Traffic,Fatal,70.65
Male,2022,Q3,Fire,Fatal,72.96
Male,2022,Q3,Drowning,Fatal,70.16
Male,2021,Q2,Traffic,Fatal,76.15
Male,2021,Q2,Fire,Fatal,45.74
Male,2021,Q2,Drowning,Fatal,78.03
Male,2018,Q3,Traffic,Fatal,80.97
Male,2018,Q3,Fire,Fatal,82.07
Male,2018,Q3,Drowning,Fatal,51.79
Male,2022,Q2,Traffic,Fatal,85.42
Male,2022,Q2,Fire,Fatal,87.72
Male,2022,Q2,Drowning,Fatal,56.47
Male,2021,Q3,Traffic,Fatal,56.48
Male,2021,Q3,Fire,Fatal,94.89
Male,2021,Q3,Drowning,Fatal,95.22
