Quarter,Month,Production_Hospital,Production_Hotel,Production_Workshop,Residential_Apartment,Residential_Library,Service_Administration,Service_Factory,Minimum,State,City
Q3,,53.53,90.78,0.40,74.07,26.17,62.92,7.20,0.40,,
,  July,53.53,90.78,0.40,74.07,26.17,63.12,7.20,0.40,Oregon,Portland
,  October,61.34,96.59,8.53,82.96,50.48,71.83,21.36,8.53,Oregon,Portland
,  September,55.53,93.27,4.98,78.91,45.04,62.92,18.44,4.98,Oregon,Portland
Q4,,55.52,92.85,1.67,75.59,34.33,64.87,12.50,1.67,,
,  August,55.52,92.85,1.67,75.59,34.33,64.87,12.50,1.67,Oregon,Portland
,  December,62.53,99.51,8.05,90.84,52.49,71.42,23.92,8.05,Oregon,Portland
,  November,59.94,95.04,7.07,79.06,48.49,66.40,21.58,7.07,Oregon,Portland
Minimum,,53.53,90.78,0.40,74.07,26.17,62.92,7.20,0.40,,
,  ,53.53,90.78,0.40,74.07,26.17,62.92,7.20,0.40,,
