Characteristic,Intensity,2015_Georgia_Hastings,2021_Georgia_Washington,2021_Minnesota_Minneapolis,2022_Minnesota_Columbus
Humidity,,20.89,6.17,27.58,14.01
,  11-20,20.89,6.17,0.29,14.01
,  High,18.97,0.74,27.58,6.50
,  Storm,20.29,3.47,23.37,12.38
Temperature,,22.61,3.58,20.48,17.64
,  21-30,22.61,2.72,2.00,13.68
,  Low,20.12,2.90,20.48,11.07
,  Medium,19.80,3.58,17.09,17.64
Wind,,25.56,7.97,24.20,12.68
,  Breeze,18.07,1.96,5.74,11.01
,  High,25.56,7.97,4.88,12.68
,  Medium,19.68,1.27,24.20,10.09
