Polluted element,Type of pollution,Maryland_Aberdeen_2022,Maryland_Las Vegas_2017,Michigan_Boulder City_2022,Michigan_Columbia_2017,Michigan_Flint_2017,Nevada_Baltimore_2022,Nevada_Detroit_2022,Nevada_Reno_2017
Average,,8.16,-34.03,42.64,-19.36,15.52,-7.58,-8.92,13.15
,  ,8.16,-34.03,42.64,-19.36,15.52,-7.58,-8.92,13.15
Air,,-28.22,-33.33,65.83,-20.72,16.45,-5.39,-8.63,35.98
,  Chemical,-34.88,-71.00,69.59,-16.74,24.19,-1.33,45.42,82.18
,  Light,-40.12,52.51,65.95,-20.59,14.63,-4.19,-96.01,80.74
,  Oxygen-depletion,-9.65,-81.49,61.95,-24.84,10.52,-10.65,24.69,-54.97
Water,,44.53,-34.74,19.45,-17.99,14.60,-9.76,-9.20,-9.68
,  Chemical,81.26,46.52,58.25,-27.90,10.60,-15.23,25.41,-58.15
,  Noise,-41.53,-77.70,-64.58,-21.32,14.90,-10.96,-97.99,76.14
,  Thermal,93.86,-73.03,64.68,-4.75,18.30,-3.09,44.98,-47.03
