Polluted element,Type of pollution,Michigan_Flint_2017,Michigan_Hastings_2017,Minnesota_Detroit_2015,Minnesota_Rochester_2015
Air,,-15.10,45.58,-13.68,4.70
,  Groundwater,19.70,79.35,-72.66,-26.04
,  Industrial,-95.28,-44.52,61.80,-16.47
,  Oxygen-depletion,15.36,76.47,46.97,-31.36
,  Thermal,-0.19,71.02,-90.85,92.67
Soil,,23.91,-15.78,54.93,11.74
,  Chemical,18.70,-51.60,49.96,-27.26
,  Light,9.79,74.39,41.93,95.92
,  Noise,37.67,-38.26,69.73,-1.98
,  Urban Activities,29.46,-47.66,58.09,-19.72
Water,,20.29,79.70,-11.46,6.81
,  Inorganic Fertilizers,27.32,77.41,58.69,-26.52
,  Noise,1.22,73.60,-88.73,92.94
,  Surface water,15.30,77.16,-82.52,-29.48
,  Thermal,37.33,90.64,66.71,-9.68
