Polluted element,Type of pollution,Illinois_Champaign_2022,Illinois_Chicago_2019,Illinois_Redmond_2022,Oregon_Salem_2021,Oregon_Springfield_2020,Average
Soil,Inferior Irrigation,23.61,-61.25,-23.07,-50.77,46.36,-13.02
,Oxygen-depletion,-93.34,77.87,-12.67,90.90,56.47,23.85
,Solid Waste,-92.08,81.25,-2.35,-35.44,60.17,2.31
,Surface water,10.74,63.46,-28.18,83.98,-85.17,8.97
,Urban Activities,27.92,-51.58,-18.98,-41.98,49.29,-7.07
Water,Industrial,27.84,-53.32,-20.30,83.86,-81.02,-8.59
,Inorganic Fertilizers,-98.63,-51.83,-16.40,89.90,-74.00,-30.19
,Oxygen-depletion,7.65,-66.11,-29.37,80.97,-89.56,-19.28
,Solid Waste,18.78,-62.35,-23.59,84.68,44.39,12.38
,Surface water,-92.30,77.17,-9.83,-37.03,57.92,-0.81
