State,City,Year,Polluted element,Type of pollution,Value
State,City,Year,Polluted_element,Type_of_pollution,Value
Nevada,Las Vegas,2019,Water,Oxygen-depletion,2.71
Nevada,Las Vegas,2019,Soil,Chemical,3.99
Nevada,Las Vegas,2019,Air,Surface water,4.66
Nevada,Las Vegas,2019,Water,Groundwater,6.2
Nevada,Las Vegas,2019,Soil,Inorganic Fertilizers,7.08
Nevada,Las Vegas,2019,Air,Industrial,12.51
Nevada,Las Vegas,2019,Water,Light,13.3
Nevada,Las Vegas,2019,Soil,Thermal,13.57
Nevada,Las Vegas,2019,Air,Noise,18.8
Nevada,Las Vegas,2019,Water,Oxygen-depletion,21.27
Nevada,Las Vegas,2019,Soil,Chemical,24.69
Nevada,Las Vegas,2019,Air,Surface water,27.74
California,Reno,2020,Water,Oxygen-depletion,29.89
California,Reno,2020,Soil,Chemical,-96.55
California,Reno,2020,Air,Surface water,35.37
California,Reno,2020,Water,Groundwater,-92.67
California,Reno,2020,Soil,Inorganic Fertilizers,-91.56
California,Reno,2020,Air,Industrial,-87.76
California,Reno,2020,Water,Light,-87.84
California,Reno,2020,Soil,Thermal,-87.48
California,Reno,2020,Air,Noise,-84.2
California,Reno,2020,Water,Oxygen-depletion,-84.99
California,Reno,2020,Soil,Chemical,-83.38
California,Reno,2020,Air,Surface water,-83.16
Nevada,Boulder City,2018,Water,Oxygen-depletion,-81.75
Nevada,Boulder City,2018,Soil,Chemical,48.86
Nevada,Boulder City,2018,Air,Surface water,45.97
Nevada,Boulder City,2018,Water,Groundwater,-76.88
Nevada,Boulder City,2018,Soil,Inorganic Fertilizers,53.37
Nevada,Boulder City,2018,Air,Industrial,-75.51
Nevada,Boulder City,2018,Water,Light,-74.72
Nevada,Boulder City,2018,Soil,Thermal,58.31
Nevada,Boulder City,2018,Air,Noise,58.05
Nevada,Boulder City,2018,Water,Oxygen-depletion,58.66
Nevada,Boulder City,2018,Soil,Chemical,58.72
Nevada,Boulder City,2018,Air,Surface water,62.26
California,San Francisco,2019,Water,Oxygen-depletion,63.71
California,San Francisco,2019,Soil,Chemical,-0.17
California,San Francisco,2019,Air,Surface water,67.67
California,San Francisco,2019,Water,Groundwater,68.02
California,San Francisco,2019,Soil,Inorganic Fertilizers,67.43
California,San Francisco,2019,Air,Industrial,70.65
California,San Francisco,2019,Water,Light,68.04
California,San Francisco,2019,Soil,Thermal,-56.13
California,San Francisco,2019,Air,Noise,-56.75
California,San Francisco,2019,Water,Oxygen-depletion,-54.7
California,San Francisco,2019,Soil,Chemical,-54.64
California,San Francisco,2019,Air,Surface water,-52.66
Nevada,Malibu,2020,Water,Oxygen-depletion,77.98
Nevada,Malibu,2020,Soil,Chemical,-49.37
Nevada,Malibu,2020,Air,Surface water,80.91
Nevada,Malibu,2020,Water,Groundwater,80.3
Nevada,Malibu,2020,Soil,Inorganic Fertilizers,-45.62
Nevada,Malibu,2020,Air,Industrial,84.05
Nevada,Malibu,2020,Water,Light,-45.9
Nevada,Malibu,2020,Soil,Thermal,-42.69
Nevada,Malibu,2020,Air,Noise,87.81
Nevada,Malibu,2020,Water,Oxygen-depletion,83.32
Nevada,Malibu,2020,Soil,Chemical,89.91
Nevada,Malibu,2020,Air,Surface water,87.32
California,Los-Angeles,2018,Water,Oxygen-depletion,-37.57
California,Los-Angeles,2018,Soil,Chemical,91.37
California,Los-Angeles,2018,Air,Surface water,91.34
California,Los-Angeles,2018,Water,Groundwater,-34.35
California,Los-Angeles,2018,Soil,Inorganic Fertilizers,-34.3
California,Los-Angeles,2018,Air,Industrial,97.4
California,Los-Angeles,2018,Water,Light,99.34
California,Los-Angeles,2018,Soil,Thermal,-21.21
California,Los-Angeles,2018,Air,Noise,-17.79
California,Los-Angeles,2018,Water,Oxygen-depletion,-14.73
California,Los-Angeles,2018,Soil,Chemical,-9.66
California,Los-Angeles,2018,Air,Surface water,-1.21
