Polluted element,Type of pollution,California_Berkeley_2022,California_Detroit_2022,California_Las Vegas_2022,Michigan_Malibu_2021,Michigan_Reno_2021,Nevada_Boulder City_2015,Nevada_Port Huron_2015
Soil,Chemical,3.57,64.98,-20.62,36.39,-54.36,-37.66,-89.72
,Groundwater,10.67,-65.95,-14.55,40.21,68.34,96.46,-72.15
,Industrial,22.56,-60.95,-12.19,41.62,86.65,-30.71,-70.02
,Inferior Irrigation,-71.62,68.46,-8.71,44.17,86.75,98.51,60.55
,Surface water,32.83,72.47,-2.37,-86.23,90.06,-23.77,-70.46
Water,Inorganic Fertilizers,15.49,-61.75,-13.07,40.46,-50.56,-30.44,-73.99
,Oxygen-depletion,4.38,-63.50,-17.08,-89.26,75.61,95.34,-73.94
,Solid Waste,22.99,68.88,-11.29,43.02,87.46,99.11,-69.43
,Surface water,1.02,63.46,-22.10,-93.18,73.78,-37.42,-81.72
,Urban Activities,-98.98,71.86,-3.89,40.01,-39.61,-25.27,58.78
