Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Culture,Museum,Q3,September,Florida,Tampa,9.97
Culture,Museum,Q1,July,Florida,Fort Lauderdale,11.5
Culture,Museum,Q3,August,Florida,Tampa,13.2
Culture,Museum,Q1,March,Florida,Fort Lauderdale,14.4
Culture,Museum,Q3,January,Florida,Tampa,15.89
Culture,Museum,Q1,September,Florida,Fort Lauderdale,13.15
Production,Concert,Q3,September,Florida,Tampa,13.09
Production,Concert,Q1,July,Florida,Fort Lauderdale,14.91
Production,Concert,Q3,August,Florida,Tampa,22.61
Production,Concert,Q1,March,Florida,Fort Lauderdale,25.78
Production,Concert,Q3,January,Florida,Tampa,27.28
Production,Concert,Q1,September,Florida,Fort Lauderdale,33.58
Culture,Theatre,Q3,September,Florida,Tampa,34.53
Culture,Theatre,Q1,July,Florida,Fort Lauderdale,34.31
Culture,Theatre,Q3,August,Florida,Tampa,41.37
Culture,Theatre,Q1,March,Florida,Fort Lauderdale,41.16
Culture,Theatre,Q3,January,Florida,Tampa,45.58
Culture,Theatre,Q1,September,Florida,Fort Lauderdale,46.95
Production,Factory,Q3,September,Florida,Tampa,49.01
Production,Factory,Q1,July,Florida,Fort Lauderdale,58.13
Production,Factory,Q3,August,Florida,Tampa,58.15
Production,Factory,Q1,March,Florida,Fort Lauderdale,63.15
Production,Factory,Q3,January,Florida,Tampa,65.86
Production,Factory,Q1,September,Florida,Fort Lauderdale,70.76
Culture,Workshop,Q3,September,Florida,Tampa,71.26
Culture,Workshop,Q1,July,Florida,Fort Lauderdale,77.25
Culture,Workshop,Q3,August,Florida,Tampa,81.01
Culture,Workshop,Q1,March,Florida,Fort Lauderdale,90.4
Culture,Workshop,Q3,January,Florida,Tampa,93.95
Culture,Workshop,Q1,September,Florida,Fort Lauderdale,97.29
