Polluted element,Type of pollution,Georgia_Columbus,Georgia_Flint,Georgia_Washington,Michigan_Albany,Michigan_Detroit,Michigan_Port Huron
Air,,-18.92,50.37,-35.72,-59.95,78.31,25.21
,  Inferior Irrigation,-3.62,55.57,-85.26,-42.32,92.55,39.91
,  Inorganic Fertilizers,-8.11,55.11,-93.38,-50.69,83.98,37.02
,  Oxygen-depletion,-29.59,45.46,0.57,-62.73,69.85,15.91
,  Thermal,-16.03,51.14,-96.84,-60.44,78.52,25.80
,  Urban Activities,-37.25,44.55,96.29,-83.56,66.66,7.43
Soil,,-24.58,46.75,0.82,-66.97,72.96,21.02
,  Industrial,-39.23,40.88,95.60,-85.18,58.73,5.54
,  Noise,-13.04,47.90,-95.76,-55.47,79.10,25.35
,  Solid Waste,-35.88,44.21,98.17,-82.31,67.37,12.04
,  Surface water,-28.77,44.07,-0.65,-61.68,71.04,22.95
,  Urban Activities,-5.97,56.68,-93.26,-50.20,88.54,39.22
Water,,-22.58,50.25,2.27,-63.83,76.68,22.77
,  Chemical,-27.63,48.66,-0.40,-61.90,78.15,22.73
,  Industrial,-9.39,53.01,-95.85,-51.43,82.80,30.89
,  Inferior Irrigation,-33.46,47.81,99.56,-78.42,67.52,12.13
,  Inorganic Fertilizers,-38.39,44.26,95.18,-83.71,62.90,7.27
,  Solid Waste,-4.03,57.51,-87.15,-43.67,92.04,40.81
