Polluted element,Type of pollution,Florida_Salem_2021,Florida_Tampa_2019,Minnesota_Hastings_2021,Minnesota_Portland_2019,Oregon_Fort Lauderdale_2021,Oregon_Redmond_2021,Oregon_Rochester_2019
Average,,-60.32,22.63,52.54,-60.92,-17.50,11.00,-18.28
,  ,-60.32,22.63,52.54,-60.92,-17.50,11.00,-18.28
Air,,-32.36,92.24,36.04,-92.58,-19.06,7.45,-20.11
,  Inferior Irrigation,-70.39,91.74,85.97,-91.25,-10.76,14.46,-58.96
,  Noise,-79.07,90.91,72.74,-95.75,-25.76,1.18,-67.05
,  Surface water,52.39,94.07,-50.59,-90.74,-20.66,6.71,65.69
Soil,,-73.52,10.91,39.71,-44.06,-15.11,13.41,26.52
,  Light,-77.50,-35.51,-56.61,-91.59,-22.55,3.82,65.59
,  Solid Waste,-71.45,95.98,85.06,40.08,-18.53,11.36,69.87
,  Thermal,-71.62,-27.74,90.68,-80.66,-4.26,25.04,-55.89
Water,,-75.09,-35.26,81.86,-46.13,-18.32,12.16,-61.25
,  Chemical,-77.89,-34.03,82.29,39.88,-19.52,9.31,-61.18
,  Noise,-69.33,-34.88,87.57,-84.31,-9.97,25.29,-56.35
,  Thermal,-78.05,-36.86,75.71,-93.95,-25.46,1.87,-66.22
