Characteristic,Intensity,2016_Oregon_Chicago,2016_Oregon_Salem,2017_Michigan_Champaign,2017_Michigan_Flint,2017_Michigan_Portland,2022_Illinois_Port Huron,2022_Illinois_Redmond,2022_Illinois_Springfield,Maximum
Temperature,,15.85,9.90,23.24,4.00,12.57,8.45,7.04,27.89,27.89
,  0-10,0.84,9.90,23.24,4.00,12.57,8.04,2.15,27.89,27.89
,  21-30,15.85,8.46,16.02,3.00,11.40,8.45,7.04,27.23,27.23
,  Breeze,13.20,0.50,15.53,1.93,10.50,6.49,2.55,23.63,23.63
Wind,,14.39,9.07,20.81,4.57,12.85,10.39,12.34,27.18,27.18
,  31-40,11.10,9.07,20.81,4.57,12.85,10.39,7.06,27.18,27.18
,  Calm,14.39,0.52,20.03,2.68,10.32,8.98,5.64,17.25,20.03
,  Storm,10.48,6.52,18.63,0.85,10.59,3.41,12.34,23.83,23.83
Maximum,,15.85,9.90,23.24,4.57,12.85,10.39,12.34,27.89,27.89
,  ,15.85,9.90,23.24,4.57,12.85,10.39,12.34,27.89,27.89
