Polluted element,Type of pollution,Maryland_Columbia,Maryland_Las Vegas,Nevada_Baltimore,Nevada_Reno,Average
Air,Inferior Irrigation,15.25,-55.12,45.52,-32.81,-6.79
,Oxygen-depletion,33.54,84.68,61.60,-2.41,44.35
,Solid Waste,25.82,79.58,-76.31,-26.01,0.77
,Thermal,5.37,63.44,-89.08,89.65,17.35
Soil,Chemical,-92.46,-42.52,62.86,-2.54,-18.66
,Industrial,20.79,76.97,45.22,97.27,60.06
,Noise,10.50,-59.65,-87.00,-35.39,-42.89
,Surface water,28.88,-47.25,-72.40,-20.50,-27.82
Water,Groundwater,-96.45,-47.49,58.50,-10.86,-24.07
,Inorganic Fertilizers,-2.90,-50.32,51.61,98.23,24.16
,Light,11.09,70.26,-85.92,-33.94,-9.63
,Thermal,38.68,87.08,63.07,-1.15,46.92
Average,,-0.16,13.30,-1.86,9.96,5.31
