Polluted element,Type of pollution,California_Berkeley_2016,California_Detroit_2020,California_Springfield_2018,Illinois_Chicago_2019,Illinois_Los-Angeles_2018,Michigan_Flint_2016,Michigan_San Francisco_2019,Average
Air,,11.84,88.83,-20.02,-38.63,66.14,-74.45,42.34,10.86
,  Groundwater,15.38,88.92,-14.51,-36.78,70.74,-72.67,44.43,13.64
,  Solid Waste,1.02,82.24,-31.78,-45.51,56.68,-89.45,30.44,0.52
,  Surface water,23.54,98.77,-9.64,-31.32,76.72,-57.49,53.20,21.97
,  Thermal,7.41,85.37,-24.14,-40.90,60.42,-78.19,41.28,7.32
Soil,,10.28,86.85,-21.62,-41.13,65.14,-77.56,40.62,8.94
,  Inferior Irrigation,6.13,84.41,-25.14,-41.86,60.30,-83.89,38.34,5.47
,  Noise,13.93,89.80,-18.96,-37.51,68.52,-74.12,42.86,12.07
,  Oxygen-depletion,20.78,92.56,-12.80,-33.26,75.31,-60.76,52.79,19.23
,  Urban Activities,0.26,80.63,-29.57,-51.91,56.45,-91.46,28.49,-1.02
Water,,13.93,40.27,-18.00,-37.35,69.43,-69.81,45.36,6.26
,  Chemical,16.43,88.77,-14.25,-35.71,70.22,-64.18,47.61,15.56
,  Industrial,5.59,81.59,-27.57,-44.17,59.98,-86.54,36.87,3.68
,  Light,9.30,88.26,-21.34,-39.33,66.67,-76.98,41.59,9.74
,  Urban Activities,24.39,-97.56,-8.85,-30.18,80.85,-51.52,55.38,-3.93
Average,,12.01,71.98,-19.88,-39.04,66.90,-73.94,42.77,8.69
,  ,12.01,71.98,-19.88,-39.04,66.90,-73.94,42.77,8.69
