Polluted element,Type of pollution,Georgia_Aberdeen_2018,Georgia_Albany_2018,Maryland_Columbia_2017,Maryland_Washington_2017
Air,,7.03,-16.66,15.72,37.09
,  Industrial,36.31,-30.86,4.10,-59.95
,  Light,-80.54,-13.56,9.35,77.32
,  Surface water,65.32,-5.55,33.71,93.91
Soil,,-38.36,25.00,-30.68,-10.29
,  Groundwater,64.26,-6.58,-99.72,-42.33
,  Noise,-86.35,-16.16,5.25,75.83
,  Urban Activities,-92.98,97.74,2.42,-64.38
Water,,-34.21,29.09,-24.19,82.39
,  Oxygen-depletion,-80.43,-7.47,17.31,78.17
,  Thermal,40.11,99.58,5.24,73.52
,  Urban Activities,-62.31,-4.84,-95.13,95.49
