State,City,Polluted element,Type of pollution,Value
State,City,Polluted_element,Type_of_pollution,Value
Oregon,Salem,Water,Oxygen-depletion,2.89
Oregon,Salem,Soil,Groundwater,17.78
Oregon,Salem,Air,Surface water,18.09
Oregon,Salem,Water,Chemical,20.91
Oregon,Salem,Soil,Inorganic Fertilizers,21.53
Oregon,Salem,Air,Industrial,25.39
Oregon,Salem,Water,Thermal,29.23
Oregon,Salem,Soil,Noise,-97.52
Oregon,Salem,Air,Light,-95.29
Oregon,Salem,Water,Oxygen-depletion,33.95
Oregon,Salem,Soil,Groundwater,-92.08
Oregon,Salem,Air,Surface water,38.89
Minnesota,Redmond,Water,Oxygen-depletion,38.46
Minnesota,Redmond,Soil,Groundwater,-88.76
Minnesota,Redmond,Air,Surface water,-87.47
Minnesota,Redmond,Water,Chemical,39.35
Minnesota,Redmond,Soil,Inorganic Fertilizers,44.15
Minnesota,Redmond,Air,Industrial,46.16
Minnesota,Redmond,Water,Thermal,-78.64
Minnesota,Redmond,Soil,Noise,-77.46
Minnesota,Redmond,Air,Light,-77.33
Minnesota,Redmond,Water,Oxygen-depletion,53.79
Minnesota,Redmond,Soil,Groundwater,58.34
Minnesota,Redmond,Air,Surface water,58.61
Oregon,Hastings,Water,Oxygen-depletion,63.62
Oregon,Hastings,Soil,Groundwater,-65.75
Oregon,Hastings,Air,Surface water,-63.55
Oregon,Hastings,Water,Chemical,-59.96
Oregon,Hastings,Soil,Inorganic Fertilizers,-58.52
Oregon,Hastings,Air,Industrial,73.45
Oregon,Hastings,Water,Thermal,74.36
Oregon,Hastings,Soil,Noise,-53.93
Oregon,Hastings,Air,Light,-53.45
Oregon,Hastings,Water,Oxygen-depletion,76.6
Oregon,Hastings,Soil,Groundwater,-55.22
Oregon,Hastings,Air,Surface water,77.47
Minnesota,Minneapolis,Water,Oxygen-depletion,76.94
Minnesota,Minneapolis,Soil,Groundwater,-45.25
Minnesota,Minneapolis,Air,Surface water,-43.21
Minnesota,Minneapolis,Water,Chemical,-41.69
Minnesota,Minneapolis,Soil,Inorganic Fertilizers,91.16
Minnesota,Minneapolis,Air,Industrial,-36.93
Minnesota,Minneapolis,Water,Thermal,-33.03
Minnesota,Minneapolis,Soil,Noise,-32.78
Minnesota,Minneapolis,Air,Light,97.02
Minnesota,Minneapolis,Water,Oxygen-depletion,-31.21
Minnesota,Minneapolis,Soil,Groundwater,99.19
Minnesota,Minneapolis,Air,Surface water,-27.23
Oregon,Rochester,Water,Oxygen-depletion,-26.63
Oregon,Rochester,Soil,Groundwater,-25.29
Oregon,Rochester,Air,Surface water,-24.29
Oregon,Rochester,Water,Chemical,-25.1
Oregon,Rochester,Soil,Inorganic Fertilizers,-22.62
Oregon,Rochester,Air,Industrial,-21.94
Oregon,Rochester,Water,Thermal,-19.22
Oregon,Rochester,Soil,Noise,-15.7
Oregon,Rochester,Air,Light,-15.05
Oregon,Rochester,Water,Oxygen-depletion,-9.45
Oregon,Rochester,Soil,Groundwater,-4.27
Oregon,Rochester,Air,Surface water,-2.58
