Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Export,2018,Meat,Chicken,32.56
Export,2018,Beverage,Beef,898.73
Export,2018,Meat,Coffee,579.1
Export,2018,Beverage,Juice,68.87
Export,2018,Meat,Tea,344.2
Export,2018,Beverage,Chicken,358.45
Export,2022,Meat,Chicken,745.18
Export,2022,Beverage,Beef,875.34
Export,2022,Meat,Coffee,557.85
Export,2022,Beverage,Juice,686.81
Export,2022,Meat,Tea,656.81
Export,2022,Beverage,Chicken,919.76
Export,2018,Meat,Chicken,402.28
Export,2018,Beverage,Beef,210.13
Export,2018,Meat,Coffee,151.11
Export,2018,Beverage,Juice,408.86
Export,2018,Meat,Tea,441.14
Export,2018,Beverage,Chicken,443.54
