Quarter,Month,Culture_Administration,Culture_Apartment,Culture_Museum,Residential_House,Residential_Theatre,Service_Concert,Service_School,Minimum,State,City
Q2,,76.35,45.98,1.72,51.38,15.93,26.71,66.62,1.72,,
,  August,96.07,54.01,10.89,64.22,23.96,36.09,74.74,10.89,Nevada,Reno
,  December,87.93,51.40,10.44,51.38,20.04,34.62,67.03,10.44,Nevada,Reno
,  June,76.35,45.98,1.72,55.52,15.93,26.71,66.62,1.72,Nevada,Reno
Q3,,84.56,48.33,9.39,54.46,18.24,31.00,68.15,9.39,,
,  July,91.06,53.49,12.53,54.46,23.46,36.00,68.15,12.53,Nevada,Reno
,  June,98.89,56.64,14.88,66.88,26.49,41.05,76.90,14.88,Nevada,Reno
,  October,84.56,48.33,9.39,59.73,18.24,31.00,69.90,9.39,Nevada,Reno
Q4,,74.19,48.76,6.42,58.55,15.50,29.69,68.27,6.42,,
,  May,74.19,48.76,6.42,58.55,15.50,29.69,68.27,6.42,Nevada,Reno
,  November,90.42,51.09,11.12,61.89,20.97,35.71,71.55,11.12,Nevada,Reno
,  September,97.35,53.40,14.30,64.45,25.68,37.55,75.19,14.30,Nevada,Reno
Minimum,,74.19,45.98,1.72,51.38,15.50,26.71,66.62,1.72,,
,  ,74.19,45.98,1.72,51.38,15.50,26.71,66.62,1.72,,
