Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Production,Workshop,Q2,June,65.42
Production,Workshop,Q1,April,71.45
Production,Workshop,Q2,January,8.24
Production,Workshop,Q1,February,73.54
Service,Factory,Q2,June,73.33
Service,Factory,Q1,April,12.77
Service,Factory,Q2,January,78.15
Service,Factory,Q1,February,81.17
Production,Administration,Q2,June,93.23
Production,Administration,Q1,April,55.41
Production,Administration,Q2,January,86.12
Production,Administration,Q1,February,22.07
Service,Hospital,Q2,June,26.09
Service,Hospital,Q1,April,91.71
Service,Hospital,Q2,January,93.72
Service,Hospital,Q1,February,62.79
