Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2021,Nevada,Las Vegas,Wind,Calm,2.38
2021,Nevada,Las Vegas,Humidity,Breeze,2.71
2021,Nevada,Las Vegas,Wind,Low,3.0
2021,Nevada,Las Vegas,Humidity,High,5.18
2019,Minnesota,Reno,Wind,Calm,5.06
2019,Minnesota,Reno,Humidity,Breeze,5.23
2019,Minnesota,Reno,Wind,Low,5.14
2019,Minnesota,Reno,Humidity,High,7.09
2017,Georgia,Boulder City,Wind,Calm,10.39
2017,Georgia,Boulder City,Humidity,Breeze,11.31
2017,Georgia,Boulder City,Wind,Low,10.48
2017,Georgia,Boulder City,Humidity,High,11.18
2021,Nevada,Hastings,Wind,Calm,11.98
2021,Nevada,Hastings,Humidity,Breeze,11.09
2021,Nevada,Hastings,Wind,Low,16.78
2021,Nevada,Hastings,Humidity,High,15.94
2019,Minnesota,Minneapolis,Wind,Calm,18.12
2019,Minnesota,Minneapolis,Humidity,Breeze,12.74
2019,Minnesota,Minneapolis,Wind,Low,20.1
2019,Minnesota,Minneapolis,Humidity,High,13.03
2017,Georgia,Albany,Wind,Calm,15.98
2017,Georgia,Albany,Humidity,Breeze,23.8
2017,Georgia,Albany,Wind,Low,24.26
2017,Georgia,Albany,Humidity,High,24.59
2021,Nevada,Columbus,Wind,Calm,26.73
2021,Nevada,Columbus,Humidity,Breeze,26.48
2021,Nevada,Columbus,Wind,Low,27.59
2021,Nevada,Columbus,Humidity,High,25.17
2019,Minnesota,Washington,Wind,Calm,27.8
2019,Minnesota,Washington,Humidity,Breeze,10.15
2019,Minnesota,Washington,Wind,Low,0.16
2019,Minnesota,Washington,Humidity,High,19.67
